,mlp_loss,mlp_mae,lstm_loss,lstm_mae,gru_loss,gru_mae
0,0.5308338403701782,0.49909886717796326,0,0,0.09813275933265686,0.1993894875049591
0,31.90022087097168,5.179029941558838,0,0,1.2113689184188843,0.876140832901001
0,0.0013713319785892963,0.027572933584451675,0,0,0.0010797258000820875,0.022434711456298828
0,0.007998263463377953,0.07713037729263306,0,0,0.0012590948026627302,0.029024982824921608
0,0.0022306523751467466,0.03584516420960426,0,0,0.0006080878083594143,0.016124000772833824
0,0.06762991845607758,0.21399882435798645,0,0,0.0014248366933315992,0.02953215129673481
0,0.001384747214615345,0.027675515040755272,0,0,0.0005209896480664611,0.016370829194784164
0,0.1322290599346161,0.31755417585372925,0,0,0.002883150242269039,0.04551754146814346
0,0.0017667441861703992,0.032284412533044815,0,0,0.0013224855065345764,0.026334229856729507
0,0.04761921986937523,0.16100509464740753,0,0,0.0014165379106998444,0.03274386376142502
