,mlp_mae,lstm_loss,lstm_mae,gru_loss,gru_mae,mlp_loss
0,0.20231978595256805,0.32544490694999695,0.3992675840854645,0.047044552862644196,0.16765594482421875,0.10654688626527786
0,0.4432317018508911,4.756876468658447,1.070854902267456,9.354256629943848,1.7424818277359009,0.3215198218822479
0,0.02370372787117958,0.0008257816080003977,0.02060050703585148,0.0002109965862473473,0.011250147596001625,0.0011081212433055043
0,0.07890140265226364,0.04477711766958237,0.1119430735707283,0.0003347629972267896,0.014817568473517895,0.024337174370884895
0,0.026640020310878754,0.001288918312638998,0.02478162571787834,0.0008396683842875063,0.0226798877120018,0.001437889994122088
0,0.11949911713600159,0.026826288551092148,0.07340797036886215,0.002124944468960166,0.04014410451054573,0.03429423272609711
0,0.007043914869427681,0.002134000649675727,0.028971634805202484,0.004381292499601841,0.06078321859240532,0.00010531234875088558
0,0.056833185255527496,0.027184775099158287,0.11588974297046661,0.00028258029487915337,0.013366103172302246,0.00946185365319252
0,0.0211465023458004,0.0006837566033937037,0.018749982118606567,0.0011608641361817718,0.028008975088596344,0.0008976198732852936
0,0.06452769041061401,0.02452285774052143,0.0689382404088974,0.0006893764948472381,0.02203970029950142,0.006614942569285631
