,mlp_loss,mlp_mae,lstm_loss,lstm_mae,gru_loss,gru_mae
0,0.32625046372413635,0.3812302350997925,0,0,0.07177203893661499,0.17399945855140686
0,9.825837135314941,2.2868592739105225,0,0,1.2592037916183472,0.8195167779922485
0,0.0013696997193619609,0.02755286917090416,0,0,0.0009377235546708107,0.021370045840740204
0,0.009519828483462334,0.07851026207208633,0,0,0.0008154039387591183,0.02223370410501957
0,0.002232400933280587,0.03583063557744026,0,0,0.0008619914297014475,0.02010914497077465
0,0.04562092572450638,0.1748533397912979,0,0,0.0012003888841718435,0.02645992487668991
0,0.0013905010418966413,0.02767423540353775,0,0,0.0007185664144344628,0.01968972571194172
0,0.1322290599346161,0.31755417585372925,0,0,0.0022504194639623165,0.03954337164759636
0,0.0017657228745520115,0.032270509749650955,0,0,0.0007574500050395727,0.02029275894165039
0,0.012413570657372475,0.08975493907928467,0,0,0.0009970885002985597,0.025490449741482735
