,mlp_mae,lstm_loss,lstm_mae,gru_loss,gru_mae,mlp_loss
0,0.2332909107208252,0.17094001173973083,0.229153111577034,0.04120388627052307,0.15205399692058563,0.18865959346294403
0,1.9568315744400024,10.569467544555664,2.32389497756958,1.5512073040008545,1.0565247535705566,7.354577541351318
0,0.026458706706762314,0.0006002994487062097,0.017768004909157753,0.0003345900622662157,0.01098871510475874,0.0013373484835028648
0,0.05980194732546806,0.04427500069141388,0.10686369985342026,0.0002168408245779574,0.011921444907784462,0.006365540903061628
0,0.027988707646727562,0.002031260635703802,0.03366289660334587,0.00022411398822441697,0.010538829490542412,0.0015041099395602942
0,0.1295136958360672,0.18269082903862,0.3791112005710602,0.026083847507834435,0.06537248939275742,0.03983498737215996
0,0.02517283335328102,0.0005270362016744912,0.015548506751656532,0.00022544348030351102,0.008886822499334812,0.0011628152569755912
0,0.036807313561439514,0.003445154521614313,0.04786087945103645,0.001000569318421185,0.026321105659008026,0.0019921096973121166
0,0.03093746118247509,0.0017667441861703992,0.032284412533044815,0.0005215766723267734,0.01578630320727825,0.001639795140363276
0,0.08645227551460266,0.025235185399651527,0.08028483390808105,0.00023423992388416082,0.012491672299802303,0.025922656059265137
