,mlp_mae,lstm_loss,lstm_mae,gru_loss,gru_mae,mlp_loss
0,0.20501460134983063,0.08816200494766235,0.21667622029781342,0.5845882296562195,0.5439640283584595,0.1618347316980362
0,1.0256394147872925,6.605439186096191,1.8756365776062012,3.652733564376831,1.4901031255722046,4.733754634857178
0,0.027465268969535828,0.0013726254692301154,0.027588382363319397,0.0008296705782413483,0.018992692232131958,0.0013596341013908386
0,0.035387054085731506,0.02110191062092781,0.11101141571998596,0.047501981258392334,0.13498729467391968,0.0019228997407481074
0,0.030797457322478294,0.001142816967330873,0.023041240870952606,0.0011764963855966926,0.022454705089330673,0.0017617919947952032
0,0.1038426011800766,0.002382479840889573,0.04185857996344566,0.0014990066410973668,0.03121291659772396,0.03045061230659485
0,0.02766362577676773,0.0011492009507492185,0.024858055636286736,0.000823209818918258,0.019116133451461792,0.0013833640841767192
0,0.08259272575378418,0.030755696818232536,0.13624052703380585,0.020313333719968796,0.08037222921848297,0.02089664712548256
0,0.029011163860559464,0.0017667441861703992,0.032284412533044815,0.0009333658963441849,0.02257249318063259,0.0014528018655255437
0,0.026923730969429016,0.00031108339317142963,0.014218855649232864,0.09395348280668259,0.2065221071243286,0.0012122271582484245
