,mlp_loss,mlp_mae,lstm_loss,lstm_mae,gru_loss,gru_mae
0,0.09345582127571106,0.17462843656539917,0.2871820628643036,0.3943728804588318,0.0228391382843256,0.11477735638618469
0,0.41300347447395325,0.5392818450927734,35180.19921875,126.49169158935547,0.3440413475036621,0.4099492132663727
0,0.0013013355201110244,0.02670101448893547,0.0009883337188512087,0.022683806717395782,0.0006133270217105746,0.01576811447739601
0,0.03340321034193039,0.115108422935009,0.0006881824228912592,0.02031262032687664,0.00014289593673311174,0.009697528555989265
0,0.00182520248927176,0.03172134980559349,0.002132104942575097,0.03501388803124428,8.724973304197192e-05,0.0070407334715127945
0,0.005756759084761143,0.06697595119476318,0.0002788972342386842,0.012749363668262959,0.0004119747900404036,0.017099184915423393
0,0.0007892025751061738,0.02006775140762329,0.0002953523653559387,0.012143678031861782,0.001384747214615345,0.027675515040755272
0,0.0016355086117982864,0.030888423323631287,0.000707302475348115,0.023415585979819298,0.0006408867775462568,0.022482890635728836
0,0.001647239550948143,0.03102625161409378,0.0010966332629323006,0.02430688589811325,0.0002114448870997876,0.010004157200455666
0,0.04978577792644501,0.13008248805999756,0.0005364104872569442,0.01920897141098976,0.000804998679086566,0.026269856840372086
