ICU_beds,cases,day,deceased,dow_cos,dow_sin,holiday,lockdown,normal_beds,population,recovered,temp_avg,temp_max,temp_min,tests
55.027788030018556,36.1725799808506,-1.5145376525891294,2.6744975956266615,1.0,0.0,False,False,185.07523361736497,1495608.0,100.49424715567181,0.5919731440845444,0.7733028349390983,0.3754595014085165,4232.593032398864
55.027788030018556,36.1725799808506,-1.5109571853253252,2.6744975956266615,0.6234898018587336,0.7818314824680298,False,False,185.27582093703697,1495608.0,100.62797203545314,0.7257186061405728,0.8269755994501355,0.3361193968295832,4250.779616049125
55.027788030018556,36.440029740413266,-1.5073767180615212,2.6744975956266615,-0.22252093395631434,0.9749279121818236,False,False,185.47640825670896,1495608.0,100.82855935512514,0.9950552871445228,1.130603759018773,0.6865438577847883,4297.583323972592
55.027788030018556,36.440029740413266,-1.5037962507977172,2.6744975956266615,-0.900968867902419,0.43388373911755823,False,False,185.74385801627164,1495608.0,101.0960091146878,0.8676261489977624,0.7287233900353028,0.819771270770588,4357.826382314082
55.027788030018556,37.175516579210594,-1.500215783533913,2.6744975956266615,-0.9009688679024191,-0.433883739117558,False,False,185.87758289605299,1495608.0,101.22973399446914,0.44362942297445684,0.2390148609428615,0.8756408310549554,4420.743938251199
55.027788030018556,37.3761038988826,-1.496635316270109,2.6744975956266615,-0.2225209339563146,-0.9749279121818236,True,False,186.0113077758343,1495608.0,101.2965964343598,0.9191275604553084,0.9664804295222122,0.8670455140881296,4470.355868650075
55.027788030018556,37.44296633877326,-1.493054849006305,2.6744975956266615,0.6234898018587334,-0.7818314824680299,False,False,186.14503265561564,1495608.0,101.36345887425047,0.5500480946829861,0.7229568946746128,0.5731517916455097,4502.316114917813
55.027788030018556,37.50982877866393,-1.4894743817425007,2.8082224754079945,1.0,0.0,False,False,186.47934485506897,1495608.0,101.43032131414114,0.2725613183122382,-0.10719664898163928,0.5668705984774445,4524.581307401405
55.094650469909226,37.7772785382266,-1.4858939144786967,2.8082224754079945,0.6234898018587336,0.7818314824680298,False,False,186.8136570545223,1495608.0,101.49718375403181,0.3864828719319669,-0.1488928462050898,0.9569657531256919,4558.948601505207
55.161512909799896,38.37904049724259,-1.4823134472148924,2.8082224754079945,-0.22252093395631434,0.9749279121818236,False,False,187.08110681408496,1495608.0,101.49718375403181,0.42145636940302106,-0.1264922296116403,0.9658916592066267,4594.318832207369
55.22837534969056,38.37904049724259,-1.4787329799510884,2.8082224754079945,-0.900968867902419,0.43388373911755823,False,False,187.34855657364764,1495608.0,101.56404619392247,0.8665834162081866,0.8569170176691024,0.8805996677665856,4638.5149049751
55.29523778958123,38.512765377023925,-1.4751525126872844,2.8082224754079945,-0.9009688679024191,-0.433883739117558,False,False,187.6160063332103,1495608.0,101.56404619392247,1.2641762303299393,1.398745793290857,0.6759650061333102,4659.643435980551
55.36210022947189,38.512765377023925,-1.4715720454234802,2.8082224754079945,-0.2225209339563146,-0.9749279121818236,False,False,187.88345609277297,1495608.0,101.56404619392247,1.5476677093165194,1.5992424012163848,1.1308556271468595,4686.990173895833
55.42896266936256,38.512765377023925,-1.4679915781596762,2.8082224754079945,0.6234898018587334,-0.7818314824680299,False,False,188.15090585233565,1495608.0,101.63090863381315,0.6480529914687329,0.02565453259733354,1.2125111383317044,4699.560312595278
55.562687549143895,38.512765377023925,-1.4644111108958722,2.8082224754079945,1.0,0.0,False,False,188.685805371461,1495608.0,101.63090863381315,0.4579879733412568,-0.2052270701133688,1.1368062312008158,4721.491192879418
55.629549989034565,38.57962781691459,-1.460830643632068,2.8082224754079945,0.6234898018587336,0.7818314824680298,False,False,189.2207048905863,1495608.0,101.83149595348513,0.8262044878394481,0.5009468232880488,1.2045769995930957,4750.643216671748
55.69641242892522,38.64649025680526,-1.457250176368264,2.8082224754079945,-0.22252093395631434,0.9749279121818236,False,False,189.68874196982097,1495608.0,101.96522083326647,1.0448188106194427,0.8571388059522063,1.132839161831512,4792.097929403962
55.69641242892522,38.84707757647726,-1.45366970910446,2.8082224754079945,-0.900968867902419,0.43388373911755823,False,False,190.15677904905564,1495608.0,102.16580815293848,0.7217394419320776,0.562603965990811,0.8591113753495213,4836.360864611583
55.69641242892522,39.04766489614926,-1.4500892418406557,2.8082224754079945,-0.9009688679024191,-0.433883739117558,False,False,190.6248161282903,1495608.0,102.16580815293848,0.6213254728393802,0.40069851932528433,0.7321651555317868,4871.931682633417
55.69641242892522,39.31511465571192,-1.4465087745768517,2.8082224754079945,-0.2225209339563146,-0.9749279121818236,False,False,191.09285320752497,1495608.0,102.23267059282914,0.45514742539724057,0.06158423446009389,1.0571342547006228,4899.746457627934
55.69641242892522,39.58256441527459,-1.4429283073130477,2.8082224754079945,0.6234898018587334,-0.7818314824680299,False,False,191.56089028675962,1495608.0,102.2995330327198,0.6538539417003948,0.15007775941837534,1.1341615182879463,4918.869115436665
55.69641242892522,39.78315173494659,-1.4393478400492434,2.8082224754079945,1.0,0.0,False,False,192.0289273659943,1495608.0,102.5001203523918,1.0637438114785223,0.8358471307742739,1.1318473944891856,4940.39882108146
55.69641242892522,40.585501013634584,-1.4357673727854394,2.8082224754079945,0.6234898018587336,0.7818314824680298,False,False,192.36323956544763,1495608.0,102.83443255184514,1.2305690723762603,1.1581055061236023,1.2012711084520094,4969.350257554119
55.69641242892522,40.91981321308792,-1.4321869055216354,2.8082224754079945,-0.22252093395631434,0.9749279121818236,False,False,192.8312766446823,1495608.0,102.90129499173581,0.9936410058896953,1.0838064312839437,0.8210936272270226,5021.904135308183
55.7632748688159,41.45471273221325,-1.4286064382578312,2.8082224754079945,-0.900968867902419,0.43388373911755823,False,False,193.49990104358895,1495608.0,103.1018823114078,0.7189827920286015,0.745357511268062,0.8505160583826955,5066.033345636022
55.7632748688159,43.05941128958925,-1.4250259709940272,2.8082224754079945,-0.9009688679024191,-0.433883739117558,False,False,194.16852544249562,1495608.0,103.23560719118913,1.2502491556002053,1.341746204533267,0.9493622035011926,5122.064070264401
55.7632748688159,44.32979764751191,-1.421445503730223,2.8082224754079945,-0.2225209339563146,-0.9749279121818236,False,False,194.8371498414023,1495608.0,103.36933207097047,1.5986417616620963,1.5544411680294863,1.504090736975564,5166.861904991148
55.7632748688159,46.736845483575905,-1.417865036466419,2.8082224754079945,0.6234898018587334,-0.7818314824680299,False,False,195.50577424030897,1495608.0,103.36933207097047,1.7385357515463127,1.7837702527584636,1.5235954947079764,5193.339431187852
55.7632748688159,47.204882562810575,-1.414284569202615,2.8082224754079945,1.0,0.0,False,False,196.50871083866897,1495608.0,103.63678183053314,0.880762185059543,0.4452779642290806,1.2435865150579208,5228.575937010232
55.7632748688159,50.347417237671905,-1.4107041019388107,2.8082224754079945,0.6234898018587336,0.7818314824680298,False,False,197.37792255724762,1495608.0,103.83736915020513,1.248810903476652,1.1911519603060174,1.0829202056011005,5275.045332734247
55.7632748688159,53.95798899176789,-1.4071236346750067,2.8082224754079945,-0.22252093395631434,0.9749279121818236,False,False,198.24713427582628,1495608.0,103.83736915020513,1.4443053233705392,1.6622302736177677,1.159616880074315,5335.087803756064
