ICU_beds_per_100k,cases_per_100k,day,deceased_per_100k,dow_cos,dow_sin,holiday,lockdown,normal_beds_per_100k,recovered_per_100k,temp_avg,temp_max,temp_min,tests_per_100k
-0.8692707075127988,-0.6336140601683241,-1.7293904339537263,-0.6638891722626991,-0.9009688679024191,-0.433883739117558,False,True,-0.81057117539687,-0.5813036210237591,-0.17409010751045845,0.2302544612993248,-0.7612821633557307,-0.5242914247699723
-0.8692707075127988,-0.6324540957739244,-1.725842966396898,-0.6638891722626991,-0.2225209339563146,-0.9749279121818236,False,True,-0.7945886168866161,-0.580841383002409,-0.46539852651881536,-0.1615045338072695,-0.44059607092218156,-0.6459449895932751
-0.8292010502143499,-0.6313303802668497,-1.7222954988400698,-0.6638891722626991,0.6234898018587334,-0.7818314824680299,False,True,-0.8009816402907176,-0.5813036210237591,-1.135279560538032,-1.1874305825761529,-0.7697212710513504,-0.6923048615935067
-0.8425576026471663,-0.6304241580837249,-1.7187480312832417,-0.5700912811034063,1.0,0.0,False,True,-0.784999081780464,-0.5785301928956583,-1.3136578435431492,-1.441327174712685,-1.2788807686870733,-0.5193595234933519
-0.8292010502143499,-0.6293004425766502,-1.7152005637264136,-0.5700912811034063,0.6234898018587336,0.7818314824680298,False,True,-0.7466409413558551,-0.5757567647675577,-1.2828587155422657,-1.510258376197716,-1.1213507583688387,-0.5239626313515309
-0.789131392915901,-0.6288654559287503,-1.7116530961695853,-0.5700912811034063,-0.22252093395631434,0.9749279121818236,False,True,-0.7274618711435508,-0.5674364803832558,-1.4830530475480086,-1.711307713862391,-1.0679030762965804,-0.5443478232948952
-0.7624182880502683,-0.6284667181681755,-1.7081056286127572,-0.5700912811034063,-0.900968867902419,0.43388373911755823,False,True,-0.7242653594415,-0.5609651480843543,-1.2199771625404618,-1.567701044101909,-0.9666337839491438,-0.5791999256496791
-0.6822789734533705,-0.6282492248442255,-1.704558161055929,-0.4762933899441136,-0.9009688679024191,-0.433883739117558,False,True,-0.6763176839107389,-0.5628141001697547,-0.5885950385223496,-0.5038628345162589,-0.5587435786608576,-0.47760275935129926
-0.6689224210205542,-0.6278504870836507,-1.701010693499101,-0.4762933899441136,-0.2225209339563146,-0.9749279121818236,False,True,-0.6795141956127897,-0.5674364803832558,-0.5577959105214658,-0.09716874575457417,-0.9399099429130148,-0.6041882254512224
-0.655565868587738,-0.6282492248442255,-1.6974632259422728,-0.4762933899441136,0.6234898018587334,-0.7818314824680299,False,True,-0.6635316371025359,-0.5674364803832558,-0.2857369465136614,-0.030535250985710333,-0.7190866248776322,-0.7363631796646488
-0.5887831064236565,-0.6274517493230757,-1.6939157583854445,-0.5700912811034063,1.0,0.0,False,True,-0.6507455902943331,-0.5715966225754068,-1.0711147105361913,-0.8404768684348285,-0.5925000094433364,-0.5627602547276113
-0.6021396588564727,-0.626473029365301,-1.6903682908286164,-0.5700912811034063,0.6234898018587336,0.7818314824680298,False,True,-0.6699246605066376,-0.5794546689383586,-1.2276769445406828,-1.194323702724656,-1.231059158411895,-0.5091669275216697
-0.5620700015580238,-0.6256393049568262,-1.6868208232717883,-0.4762933899441136,-0.22252093395631434,0.9749279121818236,False,True,-0.6827107073148404,-0.5688231944473061,-1.322640922543407,-1.0380796460252515,-1.5475256969976343,-0.5726240572808521
-0.5754265539908401,-0.6250230738723013,-1.6832733557149602,-0.5700912811034063,-0.900968867902419,0.43388373911755823,False,True,-0.6827107073148404,-0.5743700507035074,-1.1057637295371852,-0.6899770785258436,-1.7458447278446978,-0.5828166532525341
-0.5754265539908401,-0.6245518383370764,-1.679725888158132,-0.2886976076255281,-0.9009688679024191,-0.433883739117558,False,True,-0.6635316371025359,-0.5711343845540566,-0.5911616325224229,-0.20516096141445592,-1.4603215841428971,-0.5420462693658057
-0.5487134491252075,-0.6251680694216012,-1.6761784206013037,-0.4762933899441136,-0.2225209339563146,-0.9749279121818236,False,True,-0.6859072190168911,-0.5688231944473061,-0.4461490715182631,-0.2637524826767331,-0.7626886813050008,-0.7172931613950501
-0.5620700015580238,-0.6256393049568262,-1.6726309530444756,-0.1011018253069426,0.6234898018587334,-0.7818314824680299,False,True,-0.6795141956127897,-0.5674364803832558,-0.3075529955142872,-0.04547034464080034,-0.8850557428914866,-0.7718728688563156
-0.5754265539908401,-0.6256755538441512,-1.6690834854876475,-0.4762933899441136,1.0,0.0,False,True,-0.6699246605066376,-0.5692854324686561,-0.2318384725121152,0.14179275272686798,-0.8541123480075477,-0.5374431615076265
-0.5487134491252075,-0.6261105404920511,-1.6655360179308194,-0.1011018253069426,0.6234898018587336,0.7818314824680298,False,True,-0.6859072190168911,-0.5628141001697547,-0.4115000525172692,0.15787669974004204,-1.0679030762965804,-0.5334976404863302
-0.5086437918267586,-0.626618024914601,-1.6619885503739913,-0.2886976076255281,-0.22252093395631434,0.9749279121818236,False,True,-0.6891037307189419,-0.5628141001697547,-0.3665846575159805,0.2337010213735765,-1.2085548712235759,-0.5565131797772254
-0.5220003442595749,-0.6275604959850507,-1.658441082817163,-0.3824954987848208,-0.900968867902419,0.43388373911755823,False,True,-0.6954967541230435,-0.5558805298495031,-0.13815779150942797,0.5255097743268757,-1.049618342956071,-0.5269217721175031
-0.4952872393939422,-0.6283942203935254,-1.6548936152603348,-0.4762933899441136,-0.9009688679024191,-0.433883739117558,False,True,-0.7082828009312463,-0.5614273861057043,0.19293283450007023,0.624311163122088,-0.6262564402258153,-0.5275793589543859
-0.5086437918267586,-0.6294816870132751,-1.6513461477035067,-0.19489971646623538,-0.2225209339563146,-0.9749279121818236,False,True,-0.7434444296538044,-0.5628141001697547,0.25068119950172674,0.5795058821568168,-0.40121356834262284,-0.7445830151256828
-0.5086437918267586,-0.6300979180978,-1.6477986801466786,-0.3824954987848208,0.6234898018587334,-0.7818314824680299,True,True,-0.7402479179517536,-0.5729833366394571,0.2994464855031258,0.682902684384364,-0.40543312219043276,-0.7505012966576273
-0.5353568966923912,-0.6315478735907997,-1.6442512125898505,-0.4762933899441136,1.0,0.0,False,True,-0.7338548945476523,-0.5614273861057043,0.3636113355049665,0.5496356948466368,-0.1494468554233013,-0.7547756110973649
-0.5086437918267586,-0.6319103624640496,-1.6407037450330222,-0.5700912811034063,0.6234898018587336,0.7818314824680298,False,True,-0.7146758243353478,-0.568360956425956,-0.9825672175336513,-0.33383253751984826,-0.7134605530805523,-0.5486221377346328
-0.5220003442595749,-0.6331428246330992,-1.637156277476194,-0.19489971646623538,-0.22252093395631434,0.9749279121818236,False,True,-0.7338548945476523,-0.5577294819349035,-0.7233412235262149,-0.3648515781881123,-1.2521569276509443,-0.5962971834086298
-0.5754265539908401,-0.6332878201823992,-1.633608809919366,-0.6638891722626991,-0.900968867902419,0.43388373911755823,False,True,-0.7114793126332971,-0.5669742423619056,0.02225433349517398,0.4336015056801672,-1.021487983970672,-0.5404023022735989
-0.6021396588564727,-0.6343027890274989,-1.6300613423625379,-0.19489971646623538,-0.9009688679024191,-0.433883739117558,False,True,-0.7178723360373985,-0.5660497663192054,0.28019703050257355,0.6392462567771772,-0.4827916094002801,-0.5216610774224414
-0.6154962112892889,-0.6345565312387739,-1.6265138748057095,-0.2886976076255281,-0.2225209339563146,-0.9749279121818236,False,True,-0.7210688477394492,-0.5757567647675577,0.40596013650618135,0.682902684384364,-0.29994427599518614,-0.7074293588418092
-0.6288527637221053,-0.6352090112106237,-1.6229664072488814,-0.2886976076255281,0.6234898018587334,-0.7818314824680299,False,True,-0.7306583828456015,-0.5739078126821573,0.39569376050588684,0.6185668963316678,0.14592191392338874,-0.7560907847711305
-0.6288527637221053,-0.6361514822810734,-1.6194189396920533,-0.3824954987848208,1.0,0.0,False,True,-0.7370514062497029,-0.5669742423619056,-0.07912612950773443,-0.26375248267673274,0.2528172780679051,-0.5466493772239847
-0.6422093161549216,-0.6371302022388482,-1.6158714721352252,-0.6638891722626991,0.6234898018587336,0.7818314824680298,False,True,-0.7370514062497029,-0.5674364803832558,-0.1984727505111581,-0.15116485358451523,-0.04958408102513453,-0.44669617801781153
-0.655565868587738,-0.6378551799853479,-1.612324004578397,-0.4762933899441136,-0.22252093395631434,0.9749279121818236,False,True,-0.7466409413558551,-0.5678987184046059,-0.12404152450902287,0.037247097141237126,-0.5882804555955266,-0.4536008398050801
-0.6689224210205542,-0.6388701488304478,-1.6087765370215688,-0.6638891722626991,-0.900968867902419,0.43388373911755823,False,True,-0.7498374530579058,-0.5674364803832558,-0.15099076150979585,0.1969377139148935,-0.7022084094863927,-0.436174788627688
-0.6689224210205542,-0.6393776332529977,-1.6052290694647406,-0.5700912811034063,-0.9009688679024191,-0.433883739117558,False,True,-0.7562304764620074,-0.5706721465327065,0.2570976845019111,0.5209143608945404,-0.726119214623982,-0.47891793302506475
-0.6689224210205542,-0.6397038732389225,-1.6016816019079125,-0.4762933899441136,-0.2225209339563146,-0.9749279121818236,False,True,-0.7594269881640581,-0.5752945267462076,0.421359700506623,0.6564790571484352,-0.11990997848863241,-0.5999139110114847
-0.6689224210205542,-0.6397401221262474,-1.5981341343510844,-0.6638891722626991,0.6234898018587334,-0.7818314824680299,False,True,-0.7498374530579058,-0.580841383002409,0.17753327049962833,0.19923542063106117,0.28235415500257427,-0.6594255197493708
-0.6822789734533705,-0.6398126199008974,-1.5945866667942563,-0.4762933899441136,1.0,0.0,True,True,-0.7466409413558551,-0.5803791449810588,0.31869594050367805,0.49793729373286333,-0.022860239989005618,-0.6610694868415776
