date,state,population,cases,recovered,deceased,tests,normal_beds,ICU_beds,day,dow
2020-03-16,Niederösterreich,1690879.0,156.0,5.0,0.0,,,,20,Monday
2020-03-16,Oberösterreich,1495608.0,215.0,2.0,0.0,,,,20,Monday
2020-03-16,Steiermark,1247077.0,113.0,0.0,1.0,,,,20,Monday
2020-03-16,Wien,1920949.0,126.0,13.0,4.0,,,,20,Monday
2020-03-17,Niederösterreich,1690879.0,177.0,5.0,0.0,,,,21,Tuesday
2020-03-17,Oberösterreich,1495608.0,220.0,2.0,0.0,,,,21,Tuesday
2020-03-17,Steiermark,1247077.0,113.0,1.0,2.0,,,,21,Tuesday
2020-03-17,Wien,1920949.0,128.0,13.0,4.0,,,,21,Tuesday
2020-03-18,Niederösterreich,1690879.0,184.0,5.0,1.0,,,,22,Wednesday
2020-03-18,Oberösterreich,1495608.0,222.0,2.0,1.0,,,,22,Wednesday
2020-03-18,Steiermark,1247077.0,119.0,1.0,3.0,,,,22,Wednesday
2020-03-18,Wien,1920949.0,130.0,14.0,4.0,,,,22,Wednesday
2020-03-19,Niederösterreich,1690879.0,188.0,6.0,1.0,,,,23,Thursday
2020-03-19,Oberösterreich,1495608.0,224.0,2.0,1.0,,,,23,Thursday
2020-03-19,Steiermark,1247077.0,124.0,1.0,3.0,,,,23,Thursday
2020-03-19,Wien,1920949.0,133.0,14.0,5.0,,,,23,Thursday
2020-03-20,Niederösterreich,1690879.0,195.0,7.0,4.0,,,,24,Friday
2020-03-20,Oberösterreich,1495608.0,226.0,3.0,1.0,,,,24,Friday
2020-03-20,Steiermark,1247077.0,127.0,1.0,3.0,,,,24,Friday
2020-03-20,Wien,1920949.0,139.0,16.0,5.0,,,,24,Friday
2020-03-21,Niederösterreich,1690879.0,203.0,7.0,4.0,,,,25,Saturday
2020-03-21,Oberösterreich,1495608.0,228.0,3.0,1.0,,,,25,Saturday
2020-03-21,Steiermark,1247077.0,128.0,1.0,3.0,,,,25,Saturday
2020-03-21,Wien,1920949.0,142.0,19.0,5.0,,,,25,Saturday
2020-03-22,Niederösterreich,1690879.0,214.0,8.0,7.0,,,,26,Sunday
2020-03-22,Oberösterreich,1495608.0,230.0,3.0,1.0,,,,26,Sunday
2020-03-22,Steiermark,1247077.0,129.0,1.0,3.0,,,,26,Sunday
2020-03-22,Wien,1920949.0,150.0,23.0,5.0,,,,26,Sunday
2020-03-23,Niederösterreich,1690879.0,259.0,14.0,8.0,,,,27,Monday
2020-03-23,Oberösterreich,1495608.0,278.0,10.0,1.0,,,,27,Monday
2020-03-23,Steiermark,1247077.0,166.0,3.0,4.0,,,,27,Monday
2020-03-23,Wien,1920949.0,262.0,36.0,8.0,,,,27,Monday
2020-03-24,Niederösterreich,1690879.0,348.0,29.0,10.0,,,,28,Tuesday
2020-03-24,Oberösterreich,1495608.0,372.0,16.0,2.0,,,,28,Tuesday
2020-03-24,Steiermark,1247077.0,247.0,8.0,5.0,,,,28,Tuesday
2020-03-24,Wien,1920949.0,373.0,41.0,9.0,,,,28,Tuesday
2020-03-25,Niederösterreich,1690879.0,443.0,32.0,12.0,,,,29,Wednesday
2020-03-25,Oberösterreich,1495608.0,521.0,36.0,2.0,,,,29,Wednesday
2020-03-25,Steiermark,1247077.0,295.0,10.0,6.0,,,,29,Wednesday
2020-03-25,Wien,1920949.0,440.0,50.0,11.0,,,,29,Wednesday
2020-03-26,Niederösterreich,1690879.0,597.0,50.0,13.0,,,,30,Thursday
2020-03-26,Oberösterreich,1495608.0,664.0,42.0,2.0,,,,30,Thursday
2020-03-26,Steiermark,1247077.0,397.0,12.0,7.0,,,,30,Thursday
2020-03-26,Wien,1920949.0,633.0,66.0,14.0,,,,30,Thursday
2020-03-27,Niederösterreich,1690879.0,756.0,78.0,15.0,,,,31,Friday
2020-03-27,Oberösterreich,1495608.0,778.0,69.0,4.0,,,,31,Friday
2020-03-27,Steiermark,1247077.0,462.0,20.0,12.0,,,,31,Friday
2020-03-27,Wien,1920949.0,755.0,93.0,15.0,,,,31,Friday
2020-03-28,Niederösterreich,1690879.0,854.0,99.0,17.0,,,,32,Saturday
2020-03-28,Oberösterreich,1495608.0,880.0,84.0,6.0,,,,32,Saturday
2020-03-28,Steiermark,1247077.0,522.0,22.0,14.0,,,,32,Saturday
2020-03-28,Wien,1920949.0,802.0,110.0,17.0,,,,32,Saturday
2020-03-29,Niederösterreich,1690879.0,974.0,115.0,19.0,,,,33,Sunday
2020-03-29,Oberösterreich,1495608.0,996.0,96.0,8.0,,,,33,Sunday
2020-03-29,Steiermark,1247077.0,580.0,28.0,15.0,,,,33,Sunday
2020-03-29,Wien,1920949.0,819.0,125.0,19.0,,,,33,Sunday
2020-03-30,Niederösterreich,1690879.0,1093.0,151.0,19.0,,,,34,Monday
2020-03-30,Oberösterreich,1495608.0,1053.0,121.0,10.0,,,,34,Monday
2020-03-30,Steiermark,1247077.0,649.0,36.0,20.0,,,,34,Monday
2020-03-30,Wien,1920949.0,1016.0,150.0,23.0,,,,34,Monday
2020-03-31,Niederösterreich,1690879.0,1174.0,172.0,19.0,,,,35,Tuesday
2020-03-31,Oberösterreich,1495608.0,1121.0,141.0,12.0,,,,35,Tuesday
2020-03-31,Steiermark,1247077.0,710.0,44.0,23.0,,,,35,Tuesday
2020-03-31,Wien,1920949.0,1129.0,170.0,25.0,,,,35,Tuesday
2020-04-01,Niederösterreich,1690879.0,1243.0,185.0,21.0,9395.0,164.0,36.0,36,Wednesday
2020-04-01,Oberösterreich,1495608.0,1221.0,159.0,14.0,0.0,113.0,29.0,36,Wednesday
2020-04-01,Steiermark,1247077.0,770.0,52.0,26.0,0.0,138.0,27.0,36,Wednesday
2020-04-01,Wien,1920949.0,1242.0,196.0,25.0,0.0,165.0,30.0,36,Wednesday
2020-04-02,Niederösterreich,1690879.0,1340.0,203.0,24.0,9982.0,160.0,43.0,37,Thursday
2020-04-02,Oberösterreich,1495608.0,1287.0,185.0,14.0,15740.0,107.0,31.0,37,Thursday
2020-04-02,Steiermark,1247077.0,814.0,59.0,32.0,9127.0,121.0,28.0,37,Thursday
2020-04-02,Wien,1920949.0,1295.0,231.0,29.0,18880.0,158.0,32.0,37,Thursday
2020-04-03,Niederösterreich,1690879.0,1407.0,230.0,26.0,10566.0,160.0,43.0,38,Friday
2020-04-03,Oberösterreich,1495608.0,1351.0,208.0,17.0,17287.0,102.0,33.0,38,Friday
2020-04-03,Steiermark,1247077.0,873.0,79.0,36.0,9694.0,134.0,30.0,38,Friday
2020-04-03,Wien,1920949.0,1365.0,276.0,30.0,19618.0,156.0,43.0,38,Friday
2020-04-04,Niederösterreich,1690879.0,1438.0,246.0,28.0,11086.0,167.0,39.0,39,Saturday
2020-04-04,Oberösterreich,1495608.0,1396.0,233.0,19.0,18643.0,102.0,33.0,39,Saturday
2020-04-04,Steiermark,1247077.0,929.0,105.0,40.0,10262.0,126.0,34.0,39,Saturday
2020-04-04,Wien,1920949.0,1375.0,347.0,35.0,20740.0,148.0,44.0,39,Saturday
2020-04-05,Niederösterreich,1690879.0,1466.0,254.0,32.0,11397.0,69.0,43.0,40,Sunday
2020-04-05,Oberösterreich,1495608.0,1433.0,250.0,19.0,19496.0,104.0,32.0,40,Sunday
2020-04-05,Steiermark,1247077.0,954.0,115.0,44.0,10715.0,110.0,28.0,40,Sunday
2020-04-05,Wien,1920949.0,1396.0,398.0,42.0,22144.0,150.0,42.0,40,Sunday
2020-04-06,Niederösterreich,1690879.0,1562.0,307.0,38.0,11829.0,164.0,43.0,41,Monday
2020-04-06,Oberösterreich,1495608.0,1449.0,305.0,20.0,20041.0,106.0,29.0,41,Monday
2020-04-06,Steiermark,1247077.0,993.0,157.0,50.0,11049.0,125.0,30.0,41,Monday
2020-04-06,Wien,1920949.0,1468.0,455.0,51.0,22798.0,157.0,42.0,41,Monday
2020-04-07,Niederösterreich,1690879.0,1629.0,350.0,42.0,12393.0,169.0,48.0,42,Tuesday
2020-04-07,Oberösterreich,1495608.0,1481.0,354.0,22.0,20853.0,94.0,31.0,42,Tuesday
2020-04-07,Steiermark,1247077.0,1037.0,186.0,53.0,11522.0,137.0,29.0,42,Tuesday
2020-04-07,Wien,1920949.0,1519.0,523.0,56.0,23659.0,158.0,33.0,42,Tuesday
2020-04-08,Niederösterreich,1690879.0,1681.0,425.0,46.0,12911.0,153.0,55.0,43,Wednesday
2020-04-08,Oberösterreich,1495608.0,1521.0,421.0,23.0,21846.0,119.0,33.0,43,Wednesday
2020-04-08,Steiermark,1247077.0,1073.0,225.0,55.0,12184.0,143.0,33.0,43,Wednesday
2020-04-08,Wien,1920949.0,1581.0,608.0,60.0,24869.0,153.0,35.0,43,Wednesday
2020-04-09,Niederösterreich,1690879.0,1709.0,504.0,52.0,13457.0,154.0,54.0,44,Thursday
2020-04-09,Oberösterreich,1495608.0,1559.0,511.0,23.0,22839.0,117.0,29.0,44,Thursday
2020-04-09,Steiermark,1247077.0,1106.0,259.0,58.0,12753.0,141.0,31.0,44,Thursday
2020-04-09,Wien,1920949.0,1615.0,674.0,65.0,26114.0,151.0,40.0,44,Thursday
2020-04-10,Niederösterreich,1690879.0,1792.0,584.0,54.0,14061.0,152.0,53.0,45,Friday
2020-04-10,Oberösterreich,1495608.0,1583.0,613.0,23.0,23638.0,92.0,28.0,45,Friday
2020-04-10,Steiermark,1247077.0,1137.0,291.0,61.0,13390.0,131.0,32.0,45,Friday
2020-04-10,Wien,1920949.0,1659.0,744.0,75.0,27644.0,147.0,41.0,45,Friday
