date,tests,normal_beds,ICU_beds,state
2020-04-14,1849,11,4,Burgenland
2020-04-14,12590,81,20,Salzburg
2020-04-15,156801,769,232,Alle
2020-04-15,32660,130,38,Wien
2020-04-15,6734,23,10,Vorarlberg
2020-04-15,37091,109,55,Tirol
2020-04-15,16225,118,24,Steiermark
2020-04-15,12837,78,19,Salzburg
2020-04-15,16188,193,42,Niederösterreich
2020-04-15,6549,15,10,Kärnten
2020-04-15,1938,16,4,Burgenland
2020-04-15,26579,87,30,Oberösterreich
2020-04-16,38388,90,54,Tirol
2020-04-16,162816,729,238,Alle
2020-04-16,33607,134,46,Wien
2020-04-16,6767,18,11,Vorarlberg
2020-04-16,16996,120,21,Steiermark
2020-04-16,17410,190,46,Niederösterreich
2020-04-16,27453,78,31,Oberösterreich
2020-04-16,13288,73,15,Salzburg
2020-04-16,6887,13,10,Kärnten
2020-04-16,2020,13,4,Burgenland
2020-04-17,169272,682,227,Alle
2020-04-17,35603,126,39,Wien
2020-04-17,6998,13,10,Vorarlberg
2020-04-17,39722,81,54,Tirol
2020-04-17,17998,112,22,Steiermark
2020-04-17,27858,71,30,Oberösterreich
2020-04-17,18269,179,40,Niederösterreich
2020-04-17,6956,10,8,Kärnten
2020-04-17,2209,13,5,Burgenland
2020-04-17,13659,77,19,Salzburg
2020-04-18,40884,74,51,Tirol
2020-04-18,175932,647,208,Alle
2020-04-18,37256,129,32,Wien
2020-04-18,7193,15,8,Vorarlberg
2020-04-18,19036,98,20,Steiermark
2020-04-18,14085,74,17,Salzburg
2020-04-18,29190,72,25,Oberösterreich
2020-04-18,18831,166,41,Niederösterreich
2020-04-18,7156,7,9,Kärnten
2020-04-18,2301,12,5,Burgenland
2020-04-19,179244,613,204,Alle
2020-04-19,37256,128,31,Wien
2020-04-19,7400,12,7,Vorarlberg
2020-04-19,42019,63,49,Tirol
2020-04-19,19749,99,18,Steiermark
2020-04-19,14386,72,16,Salzburg
2020-04-19,29696,66,29,Oberösterreich
2020-04-19,19112,156,40,Niederösterreich
2020-04-19,7269,6,9,Kärnten
2020-04-19,2357,11,5,Burgenland
2020-04-20,182949,611,194,Alle
2020-04-20,37750,127,32,Wien
2020-04-20,7626,11,7,Vorarlberg
2020-04-20,42813,70,44,Tirol
2020-04-20,20098,91,17,Steiermark
2020-04-20,14691,75,17,Salzburg
2020-04-20,30373,63,27,Oberösterreich
2020-04-20,19588,156,37,Niederösterreich
2020-04-20,7624,6,9,Kärnten
2020-04-20,2386,12,4,Burgenland
2020-04-21,189018,560,196,Alle
2020-04-21,39880,127,29,Wien
2020-04-21,7959,11,6,Vorarlberg
2020-04-21,43731,67,44,Tirol
2020-04-21,20792,86,17,Steiermark
2020-04-21,14944,79,15,Salzburg
2020-04-21,31046,60,30,Oberösterreich
2020-04-21,20218,109,42,Niederösterreich
2020-04-21,7914,8,9,Kärnten
2020-04-21,2534,13,4,Burgenland
2020-04-22,201794,524,176,Alle
2020-04-22,47541,110,30,Wien
2020-04-22,8384,11,7,Vorarlberg
2020-04-22,44902,56,40,Tirol
2020-04-22,15447,92,13,Salzburg
2020-04-22,20980,98,43,Niederösterreich
2020-04-22,31933,59,20,Oberösterreich
2020-04-22,8269,7,7,Kärnten
2020-04-22,2660,10,2,Burgenland
