date,state,population,cases,recovered,dead
2020-03-11,Österreich,8932664,311,4,0
2020-03-11,Wien,1920949,62,1,0
2020-03-11,Vorarlberg,399237,17,0,0
2020-03-11,Tirol,760105,71,2,0
2020-03-11,Steiermark,1247077,28,0,0
2020-03-11,Salzburg,560710,12,0,0
2020-03-11,Niederösterreich,1690879,53,1,0
2020-03-11,Kärnten,562089,5,0,0
2020-03-11,Burgenland,296010,6,0,0
2020-03-11,Oberösterreich,1495608,57,0,0
2020-03-12,Tirol,760105,117,2,0
2020-03-12,Österreich,8932664,407,7,1
2020-03-12,Wien,1920949,65,3,1
2020-03-12,Steiermark,1247077,41,0,0
2020-03-12,Vorarlberg,399237,19,0,0
2020-03-12,Oberösterreich,1495608,73,0,0
2020-03-12,Burgenland,296010,8,0,0
2020-03-12,Kärnten,562089,7,0,0
2020-03-12,Salzburg,560710,20,1,0
2020-03-12,Niederösterreich,1690879,57,1,0
2020-03-13,Burgenland,296010,11,0,0
2020-03-13,Kärnten,562089,7,0,0
2020-03-13,Niederösterreich,1690879,82,1,0
2020-03-13,Oberösterreich,1495608,107,0,0
2020-03-13,Salzburg,560710,23,1,0
2020-03-13,Steiermark,1247077,65,0,0
2020-03-13,Tirol,760105,185,2,0
2020-03-13,Vorarlberg,399237,28,0,0
2020-03-13,Wien,1920949,80,3,1
2020-03-13,Österreich,8932664,588,7,1
2020-03-14,Österreich,8932664,771,10,2
2020-03-14,Wien,1920949,95,4,2
2020-03-14,Vorarlberg,399237,53,0,0
2020-03-14,Steiermark,1247077,84,0,0
2020-03-14,Tirol,760105,210,2,0
2020-03-14,Oberösterreich,1495608,157,1,0
2020-03-14,Niederösterreich,1690879,112,1,0
2020-03-14,Kärnten,562089,9,1,0
2020-03-14,Burgenland,296010,12,0,0
2020-03-14,Salzburg,560710,39,1,0
2020-03-15,Österreich,8932664,941,14,3
2020-03-15,Wien,1920949,125,6,3
2020-03-15,Vorarlberg,399237,59,0,0
2020-03-15,Tirol,760105,217,2,0
2020-03-15,Steiermark,1247077,108,0,0
2020-03-15,Salzburg,560710,53,1,0
2020-03-15,Niederösterreich,1690879,153,2,0
2020-03-15,Kärnten,562089,11,1,0
2020-03-15,Burgenland,296010,12,0,0
2020-03-15,Oberösterreich,1495608,203,2,0
2020-03-16,Vorarlberg,399237,62,0,0
2020-03-16,Österreich,8932664,976,25,6
2020-03-16,Wien,1920949,126,13,4
2020-03-16,Steiermark,1247077,113,0,1
2020-03-16,Tirol,760105,219,3,1
2020-03-16,Oberösterreich,1495608,215,2,0
2020-03-16,Burgenland,296010,12,0,0
2020-03-16,Kärnten,562089,20,1,0
2020-03-16,Salzburg,560710,53,1,0
2020-03-16,Niederösterreich,1690879,156,5,0
2020-03-17,Burgenland,296010,12,0,0
2020-03-17,Kärnten,562089,24,2,0
2020-03-17,Niederösterreich,1690879,177,5,0
2020-03-17,Oberösterreich,1495608,220,2,0
2020-03-17,Salzburg,560710,53,1,0
2020-03-17,Steiermark,1247077,113,1,2
2020-03-17,Tirol,760105,222,3,1
2020-03-17,Vorarlberg,399237,67,0,0
2020-03-17,Wien,1920949,128,13,4
2020-03-17,Österreich,8932664,1016,27,7
2020-03-18,Tirol,760105,230,4,1
2020-03-18,Österreich,8932664,1045,29,10
2020-03-18,Wien,1920949,130,14,4
2020-03-18,Vorarlberg,399237,68,0,0
2020-03-18,Steiermark,1247077,119,1,3
2020-03-18,Salzburg,560710,54,1,0
2020-03-18,Oberösterreich,1495608,222,2,1
2020-03-18,Niederösterreich,1690879,184,5,1
2020-03-18,Kärnten,562089,26,2,0
2020-03-18,Burgenland,296010,12,0,0
2020-03-19,Österreich,8932664,1079,33,12
2020-03-19,Wien,1920949,133,14,5
2020-03-19,Vorarlberg,399237,70,0,0
2020-03-19,Tirol,760105,244,5,2
2020-03-19,Steiermark,1247077,124,1,3
2020-03-19,Oberösterreich,1495608,224,2,1
2020-03-19,Niederösterreich,1690879,188,6,1
2020-03-19,Kärnten,562089,29,2,0
2020-03-19,Burgenland,296010,13,0,0
2020-03-19,Salzburg,560710,54,3,0
2020-03-20,Steiermark,1247077,127,1,3
2020-03-20,Wien,1920949,139,16,5
2020-03-20,Vorarlberg,399237,70,0,0
2020-03-20,Tirol,760105,278,5,2
2020-03-20,Österreich,8932664,1132,38,15
2020-03-20,Salzburg,560710,54,4,0
2020-03-20,Niederösterreich,1690879,195,7,4
2020-03-20,Burgenland,296010,13,0,0
2020-03-20,Oberösterreich,1495608,226,3,1
2020-03-20,Kärnten,562089,30,2,0
2020-03-21,Burgenland,296010,14,0,0
2020-03-21,Kärnten,562089,32,3,2
2020-03-21,Niederösterreich,1690879,203,7,4
2020-03-21,Oberösterreich,1495608,228,3,1
2020-03-21,Salzburg,560710,55,7,0
2020-03-21,Steiermark,1247077,128,1,3
2020-03-21,Tirol,760105,342,7,2
2020-03-21,Vorarlberg,399237,70,0,0
2020-03-21,Wien,1920949,142,19,5
2020-03-21,Österreich,8932664,1214,47,17
2020-03-22,Tirol,760105,391,9,3
2020-03-22,Österreich,8932664,1288,56,21
2020-03-22,Wien,1920949,150,23,5
2020-03-22,Vorarlberg,399237,70,2,0
2020-03-22,Steiermark,1247077,129,1,3
2020-03-22,Salzburg,560710,57,7,0
2020-03-22,Oberösterreich,1495608,230,3,1
2020-03-22,Niederösterreich,1690879,214,8,7
2020-03-22,Kärnten,562089,32,3,2
2020-03-22,Burgenland,296010,15,0,0
2020-03-23,Österreich,8932664,1841,107,29
2020-03-23,Wien,1920949,262,36,8
2020-03-23,Vorarlberg,399237,115,6,0
2020-03-23,Tirol,760105,589,23,6
2020-03-23,Steiermark,1247077,166,3,4
2020-03-23,Salzburg,560710,96,10,0
2020-03-23,Oberösterreich,1495608,278,10,1
2020-03-23,Niederösterreich,1690879,259,14,8
