date,state,avg,min,max
2020-11-02,Niederösterreich,14.02002840909091,10.667045454545455,18.509090909090908
2020-11-02,Oberösterreich,13.87554347826087,10.997826086956522,19.245652173913044
2020-11-02,Steiermark,11.524404761904762,7.473809523809523,18.11904761904762
2020-11-02,Wien,14.758630952380953,11.392857142857142,19.17142857142857
2020-11-03,Niederösterreich,14.73125,11.387500000000001,19.32840909090909
2020-11-03,Oberösterreich,12.946376811594202,9.584782608695653,16.482608695652175
2020-11-03,Steiermark,13.44811507936508,10.423809523809524,18.15714285714286
2020-11-03,Wien,15.182440476190477,11.357142857142858,19.75714285714286
2020-11-04,Niederösterreich,10.022727272727273,8.563636363636364,12.495454545454544
2020-11-04,Oberösterreich,8.408876811594203,7.191304347826088,10.065217391304348
2020-11-04,Steiermark,10.362698412698412,8.938095238095238,12.828571428571427
2020-11-04,Wien,11.227380952380953,9.864285714285714,14.028571428571428
2020-11-05,Niederösterreich,6.546969696969697,1.0068181818181818,11.451136363636364
2020-11-05,Oberösterreich,6.177355072463768,1.241304347826087,9.582608695652175
2020-11-05,Steiermark,8.211607142857142,1.7261904761904763,13.52857142857143
2020-11-05,Wien,8.092559523809523,3.4285714285714284,12.642857142857142
2020-11-06,Niederösterreich,3.1025094696969693,-1.2738636363636362,11.572727272727272
2020-11-06,Oberösterreich,3.5561594202898554,-0.6369565217391304,11.432608695652174
2020-11-06,Steiermark,3.865277777777778,-0.65,13.116666666666665
2020-11-06,Wien,5.174702380952381,1.342857142857143,12.799999999999999
2020-11-07,Niederösterreich,4.512073863636363,-0.6806818181818183,12.95909090909091
2020-11-07,Oberösterreich,3.3517210144927536,-0.6869565217391305,11.91304347826087
2020-11-07,Steiermark,3.708134920634921,-1.280952380952381,13.297619047619047
2020-11-07,Wien,6.011011904761905,0.8499999999999999,13.37142857142857
2020-11-08,Niederösterreich,3.4207859848484854,-0.43863636363636366,7.8977272727272725
2020-11-08,Oberösterreich,2.9152173913043478,-0.717391304347826,9.73913043478261
2020-11-08,Steiermark,3.0922619047619047,-1.0928571428571427,12.264285714285714
2020-11-08,Wien,4.005952380952381,0.9714285714285714,6.207142857142857
2020-11-09,Niederösterreich,4.518229166666667,2.794318181818182,6.4363636363636365
2020-11-09,Oberösterreich,2.9568840579710143,0.7978260869565217,5.280434782608696
2020-11-09,Steiermark,2.9628968253968253,-0.14285714285714288,7.25
2020-11-09,Wien,5.488988095238095,4.121428571428571,6.514285714285714
2020-11-10,Niederösterreich,4.7474431818181815,3.7261363636363636,6.092045454545455
2020-11-10,Oberösterreich,4.196376811594203,2.8260869565217392,6.173913043478261
2020-11-10,Steiermark,3.318055555555556,1.8238095238095238,6.207142857142857
2020-11-10,Wien,6.057738095238095,5.492857142857143,6.707142857142857
2020-11-11,Niederösterreich,5.05999053030303,3.7568181818181823,6.838636363636363
2020-11-11,Oberösterreich,4.693478260869566,3.354347826086957,6.404347826086957
2020-11-11,Steiermark,3.5811507936507936,2.3238095238095235,5.569047619047619
2020-11-11,Wien,6.536904761904762,5.885714285714286,7.821428571428571
2020-11-12,Niederösterreich,5.322064393939394,3.5329545454545452,8.206818181818182
2020-11-12,Oberösterreich,5.854166666666667,4.3826086956521735,8.343478260869565
2020-11-12,Steiermark,3.730753968253968,2.3142857142857145,6.3428571428571425
